menus_2,menus_9
0.026640585,0.046180625
0.01612715,0.027045233
0.02403038,0.050398163
0.01839608,0.033248734
0.021264564,0.04168857
0.018112903,0.032450806
0.021329097,0.0418856
0.030063247,0.0710806
0.03699583,0.09717807
0.0494631,0.14847143
0.026479624,0.058534466
0.008823823,0.010424347
0.022682441,0.046087038
0.012316102,0.01621132
0.013719474,0.020964954
0.018755555,0.03427106
0.033171296,0.082509585
0.017487152,0.030711133
0.017121159,0.02970889
0.06615086,0.22159424
0.03396314,0.06625236
0.01601442,0.02500268
0.01825668,0.03285512
0.008586995,0.009983806
0.02247186,0.04542477
0.024352647,0.051446855
0.032836385,0.08125562
0.017671585,0.031220483
0.01638328,0.02772331
0.013446809,0.020311179
0.01982765,0.037381295
0.008177415,0.00923848
0.031600736,0.07667496
0.015946614,0.0265708
0.016601257,0.028304951
0.019794585,0.037284
0.026638163,0.05907391
0.01951063,0.036452178
0.013087811,0.019461669
0.015865378,0.02635826
0.02676598,0.059509937
0.026982222,0.060249828
0.023086263,0.04736564
0.024073228,0.05053719
0.019974388,0.037813943
0.018974325,0.03489836
0.016716566,0.028614286
0.014966799,0.024047364
0.048765074,0.12847677
0.028742146,0.06637207
0.017347567,0.03032753
0.019846296,0.03743616
0.02347695,0.04861325
0.014066174,0.021806745
0.019420302,0.03618888
0.035060856,0.089679144
0.02046149,0.039262105
0.024710799,0.052620273
0.016830975,0.028922383
0.025232289,0.054343592
0.00992849,0.012569002
0.018470356,0.03345911
0.021449648,0.042254537
0.011389847,0.015623024
0.01806439,0.032314774
0.017838718,0.031684507
0.02248999,0.045481663
0.017266227,0.03010477
0.020300036,0.03878012
0.021786861,0.043292083
0.02069891,0.039974455
0.021754995,0.0431937
0.026707921,0.05931179
0.02226254,0.0301285
0.019587018,0.03667532
0.028107138,0.06414278
0.021568986,0.040419776
0.01888189,0.034632843
0.028711507,0.05789799
0.031140206,0.07498675
0.025526814,0.055324484
0.026052464,0.057088487
0.022617683,0.045883045
0.017674757,0.03122924
0.02314609,0.047556013
0.035365887,0.09085106
0.019787047,0.03726184
0.027776133,0.062989704
0.025690436,0.05587173
0.023062596,0.047290362
0.015641827,0.02577648
0.02054606,0.039515346
0.019973483,0.037811287
0.019106783,0.03528
0.010926382,0.014010653
0.021485109,0.042363226
0.01984432,0.03743034
0.011469429,0.015796129
0.017456783,0.030627532
0.015306958,0.024913453
0.030011095,0.06500656
0.014385886,0.022593303
0.021906734,0.043662887
0.020457372,0.039249778
0.02082942,0.040367838
0.025278684,0.05449774
0.027629202,0.0624799
0.026503008,0.058613937
0.023641381,0.04914142
0.018303128,0.032986093
0.021354541,0.0419634
0.02207415,0.044182498
0.019957144,0.037763037
0.015573022,0.025598306
0.019341648,0.035887655
0.019324029,0.03590897
0.02021644,0.033742018
0.024125006,0.050705362
0.017539762,0.030856127
0.021415915,0.042151194
0.030360777,0.061661877
0.021765977,0.043227576
0.021183517,0.04144149
0.017899498,0.031853843
0.028293984,0.06479635
0.011432429,0.012761506
0.022031525,0.044049993
0.020867607,0.040483184
0.024222346,0.05102202
0.027524553,0.06211751
0.0200375,0.03800057
0.020989832,0.040853076
0.01859539,0.033814277
0.023056643,0.047271453
0.020368801,0.038985133
0.024814827,0.03843288
0.024560027,0.052125283
0.019030085,0.03505883
0.024016965,0.050354637
0.01844789,0.033395436
0.017721616,0.03135914
0.02115831,0.04136477
0.018842658,0.03452036
0.028989172,0.067245334
0.023295969,0.048034012
0.01781892,0.03162942
0.017649887,0.031160405
0.020591768,0.039652463
0.02010498,0.02951207
0.02817665,0.06438572
0.026221346,0.05765886
0.0381938,0.101894714
0.031351194,0.07575887
0.022552107,0.04567677
0.015818013,0.026234608
0.014400712,0.020663327
0.016165419,0.027146183
0.020855902,0.04044781
0.0318728,0.077677235
0.013991578,0.021624638
0.022782767,0.046403635
0.019128796,0.035343543
0.01629261,0.01997701
0.023819547,0.04971577
0.01192621,0.016802913
0.014883338,0.023836503
0.024894932,0.053226795
0.016186325,0.02720139
0.023877347,0.04990255
0.027444296,0.061840042
0.021226738,0.041573174
0.045888986,0.11973493
0.038021434,0.10121275
0.021414826,0.042147838
0.027830627,0.06317913
0.020556973,0.039548066
0.02466174,0.052459054
0.013141923,0.019588904
0.07158353,0.24558422
0.031559862,0.076524734
0.01913736,0.035368294
0.022080988,0.044203736
0.017860865,0.031746168
0.023750495,0.04949293
0.030475624,0.06661701
0.028138628,0.064252794
0.029126022,0.06773056
0.017762529,0.031472687
0.016820129,0.028893122
0.024831276,0.053016886
0.023871467,0.04988354
0.016491447,0.02801141
0.018712288,0.034147467
0.013731525,0.016057586
0.015728492,0.026001476
0.025135402,0.054022104
0.015244878,0.021381047
0.018042836,0.032254387
0.019437237,0.036238197
0.023187982,0.047689453
0.027008312,0.06033927
0.037551276,0.085193105
0.02192362,0.043715216
0.02093418,0.040684506
0.019097354,0.0352528
0.016489202,0.02800542
0.018488847,0.03351155
0.023447126,0.048517648
0.01682046,0.028894018
0.021003995,0.040896013
0.0179145,0.031895682
0.028539794,0.06565924
0.02634186,0.05806692
0.019189524,0.03551912
0.025683602,0.05584884
0.0145733245,0.023059
0.018487772,0.03350851
0.049289055,0.14772783
0.01537595,0.02509043
0.020345265,0.038914934
0.024267685,0.05116972
0.019763272,0.037191983
0.017979736,0.03207785
0.016480986,0.027983494
0.02508144,0.053843327
0.01757155,0.030943839
0.020613763,0.039718475
0.027319297,0.061408635
0.017220862,0.029980786
0.030371666,0.07219318
0.011876287,0.016691793
0.029593604,0.06939605
0.022518467,0.04557108
0.02215762,0.044442285
0.029527783,0.069160886
0.016877202,0.029047187
0.014053898,0.021776732
0.022349693,0.045041982
0.022437088,0.04531572
0.020738062,0.04009233
0.02589056,0.05654334
0.04576445,0.13280885
0.021367593,0.0420033
0.027895648,0.048792895
0.02187847,0.043575373
0.0482245,0.14319299
0.018322537,0.033040866
0.01978712,0.03726207
0.026486289,0.05855712
0.026859071,0.059828114
0.016985223,0.029339548
0.014828208,0.023697596
0.012982735,0.019215478
0.017378636,0.03041278
0.022891715,0.046748254
0.014816356,0.023667762
0.023526132,0.048771024
0.020827,0.040360518
0.017079273,0.029594908
0.025968144,0.05680438
0.019907393,0.037616212
0.018614186,0.033867765
0.023410238,0.04839949
0.027123798,0.060735747
0.022968551,0.046991765
0.016929336,0.02918816
0.037474558,0.09905639
0.027622426,0.06245641
0.019107435,0.03528187
0.019075152,0.035188735
0.017202238,0.029929927
0.035440296,0.09113752
0.02059373,0.03965835
0.019175526,0.035478625
0.023535743,0.0488019
0.021809759,0.043362834
0.019942954,0.037721153
0.027068876,0.0605471
0.020337008,0.038890306
0.01823138,0.032783844
0.025393832,0.0548809
0.019961976,0.0377773
0.025227293,0.046265066
0.019044198,0.0350995
0.018193584,0.028060948
0.02324001,0.047855362
0.021367852,0.042004097
0.014430996,0.022705084
0.024376472,0.051524673
0.030140974,0.07136051
0.019151095,0.023764132
0.024025518,0.050382398
0.01537465,0.025087088
0.012257506,0.017546954
0.018864347,0.03458253
0.019739611,0.037122473
0.023396084,0.04835415
0.025013762,0.053619344
0.018898567,0.034680683
0.03212937,0.07862568
0.017396193,0.03046097
0.021458797,0.042282555
0.020105787,0.038202822
0.019511962,0.036456067
0.022325763,0.04496713
0.039508484,0.10713165
0.021745082,0.04316309
0.044764746,0.1286307
0.01221832,0.017458348
0.025176853,0.05415959
0.02384009,0.04978213
0.018222354,0.032758437
0.02093757,0.040694777
0.015365082,0.02506251
0.019163756,0.03544459
0.02667222,0.059189998
0.021857167,0.043509424
0.029178238,0.067915946
0.023554912,0.048863452
0.033518933,0.08381667
0.014304419,0.02239195
0.016255297,0.02738376
0.021456825,0.042276524
0.019287268,0.035802267
0.022343831,0.045023628
0.029744735,0.069936834
0.017877407,0.03179227
0.021276647,0.041725416
0.014553822,0.023010397
0.022987723,0.04705259
0.01957791,0.036648687
0.027052807,0.060491923
0.025277,0.05449215
0.011672407,0.01624076
0.016863665,0.029010613
0.01625529,0.027383747
0.021369226,0.042008284
0.018572751,0.03374988
0.020513376,0.039417416
0.023564534,0.048894353
0.019083193,0.035211917
0.022013776,0.04399489
0.02282659,0.046542145
0.015060819,0.010895866
0.015747152,0.026050009
0.015340782,0.025000159
0.029565725,0.069296405
0.017198851,0.02992069
0.031603415,0.0766848
0.010600894,0.013944428
0.019135058,0.035361648
0.016670229,0.02848985
0.028242154,0.06461489
0.01922363,0.035617817
0.014268541,0.022303477
0.028726868,0.066318154
0.023192756,0.04770468
0.0070810905,0.007350136
0.023340931,0.0481777
0.013316385,0.020001074
0.024016028,0.05035161
0.020207206,0.038503855
0.02312558,0.047490723
0.019666161,0.03690702
0.028112847,0.0641627
0.019545889,0.03655513
0.027191814,0.060969584
0.010953625,0.014686401
0.04054916,0.111319736
0.025635317,0.05568719
0.021556882,0.042583574
